z_m,T_ci_C,T_co_C
1.790700000000048142e+00,3.622357056882278243e+02,3.465124432739937674e+02
1.803400000000048298e+00,3.616859178145224405e+02,3.464980754943876491e+02
1.816100000000048453e+00,3.611341557035524943e+02,3.464832836868144454e+02
1.828800000000048609e+00,3.605804359225792268e+02,3.464680407258687751e+02
1.841500000000048765e+00,3.600247722228764928e+02,3.464523165044153643e+02
1.854200000000048920e+00,3.594671750709603089e+02,3.464360774697543093e+02
1.866900000000048632e+00,3.589076510841507002e+02,3.464192860644599818e+02
1.879600000000049231e+00,3.583462023456067413e+02,3.464019000471054710e+02
1.892300000000049831e+00,3.577828255660402874e+02,3.463838716601553642e+02
1.905000000000049543e+00,3.572175110483007074e+02,3.463651466013297409e+02
1.917700000000049254e+00,3.566502413955531097e+02,3.463456627392995983e+02
1.930400000000049854e+00,3.560809898816876284e+02,3.463253484925285761e+02
1.943100000000050454e+00,3.555097183704825170e+02,3.463041207580291712e+02
1.955800000000050165e+00,3.549363746225041609e+02,3.462818822293327230e+02
1.968500000000049877e+00,3.543608887567481815e+02,3.462585178711250364e+02
1.981200000000050476e+00,3.537831685225021943e+02,3.462338902066391029e+02
1.993900000000051076e+00,3.532030928593369481e+02,3.462078328965944252e+02
2.006600000000050787e+00,3.526205029317321760e+02,3.461801417974614878e+02
2.019300000000050499e+00,3.520351893296456751e+02,3.461505621922804607e+02
2.032000000000051099e+00,3.514468732503535762e+02,3.461187700123170998e+02
2.044700000000051698e+00,3.508551778525779241e+02,3.460843432453128230e+02
2.057400000000051410e+00,3.502595827888093822e+02,3.460467165441723978e+02
2.070100000000051121e+00,3.496593482388624921e+02,3.460051053731290267e+02
2.082800000000051721e+00,3.490533795202242118e+02,3.459583707933220467e+02
2.095500000000052321e+00,3.484399646320813986e+02,3.459047572986914929e+02
2.108200000000052032e+00,3.477352594771523968e+02,3.457602394770304954e+02
2.120900000000051744e+00,3.469182209479158701e+02,3.455038337527827821e+02
2.133600000000052344e+00,3.461004820648220175e+02,3.452473725775536195e+02
